
> trendcast@0.1.0 dev
> next dev

⚠ Warning: Next.js inferred your workspace root, but it may not be correct.
 We detected multiple lockfiles and selected the directory of /Users/agent1/package-lock.json as the root directory.
 To silence this warning, set `turbopack.root` in your Next.js config, or consider removing one of the lockfiles if it's not needed.
   See https://nextjs.org/docs/app/api-reference/config/next-config-js/turbopack#root-directory for more information.
 Detected additional lockfiles: 
   * /Users/agent1/Documents/trendcast/package-lock.json

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.14:3000
- Environments: .env

✓ Starting...
✓ Ready in 497ms
 GET /dashboard/leads 200 in 1012ms (compile: 776ms, render: 235ms)
 GET /dashboard/leads 200 in 1015ms (compile: 805ms, render: 211ms)
 GET /dashboard/leads 200 in 1015ms (compile: 785ms, render: 230ms)
 GET /dashboard/leads 200 in 1014ms (compile: 720ms, render: 294ms)
 GET /dashboard/leads 200 in 1024ms (compile: 805ms, render: 219ms)
 GET /dashboard/leads 200 in 643ms (compile: 5ms, render: 638ms)
 GET /dashboard/leads 200 in 113ms (compile: 1944µs, render: 111ms)
 GET /dashboard/leads 200 in 88ms (compile: 3ms, render: 85ms)
(node:25872) [DEP0169] DeprecationWarning: `url.parse()` behavior is not standardized and prone to errors that have security implications. Use the WHATWG URL API instead. CVEs are not issued for `url.parse()` vulnerabilities.
(Use `node --trace-deprecation ...` to show where the warning was created)
 POST /dashboard/leads 200 in 465ms (compile: 3ms, render: 462ms)
 POST /dashboard/leads 200 in 12ms (compile: 4ms, render: 8ms)
 POST /dashboard/leads 200 in 16ms (compile: 3ms, render: 13ms)
 POST /dashboard/leads 200 in 14ms (compile: 4ms, render: 11ms)
 POST /dashboard/leads 200 in 16ms (compile: 3ms, render: 13ms)
 POST /dashboard/leads 200 in 12ms (compile: 3ms, render: 9ms)
 POST /dashboard/leads 200 in 22ms (compile: 7ms, render: 15ms)
 POST /dashboard/leads 200 in 15ms (compile: 4ms, render: 11ms)
 POST /dashboard/leads 200 in 16ms (compile: 4ms, render: 12ms)
 POST /dashboard/leads 200 in 15ms (compile: 6ms, render: 9ms)
 POST /dashboard/leads 200 in 13ms (compile: 4ms, render: 9ms)
 POST /dashboard/leads 200 in 21ms (compile: 4ms, render: 17ms)
 POST /dashboard/leads 200 in 15ms (compile: 4ms, render: 11ms)
 POST /dashboard/leads 200 in 11ms (compile: 3ms, render: 8ms)
